Date,Networth
04/22/2019,9000.0
04/29/2019,9000.0
05/06/2019,9000.0
05/13/2019,9000.0
05/20/2019,9000.0
05/27/2019,9000.0
06/03/2019,9000.0
06/10/2019,9000.0
06/17/2019,9000.0
06/24/2019,9000.0
07/01/2019,9000.0
07/08/2019,9000.0
07/15/2019,9000.0
07/22/2019,9000.0
07/29/2019,9000.0
08/05/2019,9000.0
08/12/2019,9000.0
08/19/2019,9000.0
08/26/2019,9000.0
09/02/2019,9000.0
09/09/2019,9000.0
09/16/2019,9000.0
09/23/2019,9000.0
09/30/2019,9000.0
10/07/2019,9020.008
10/14/2019,8814.159
10/21/2019,8859.278
10/28/2019,8830.745
11/04/2019,8389.657
11/11/2019,8727.203
11/18/2019,8776.209
11/25/2019,9285.276
12/02/2019,9923.041
12/09/2019,10427.722
12/16/2019,10536.436
12/23/2019,10991.971
12/30/2019,10897.366
01/06/2020,11531.806
01/13/2020,12187.411
01/20/2020,12457.711
01/27/2020,12462.302
02/03/2020,12794.566
02/10/2020,14134.082
02/17/2020,13864.802
02/24/2020,12402.376
03/02/2020,12625.756
03/09/2020,11062.905
03/16/2020,10488.953
03/23/2020,11456.121
03/30/2020,10360.777
04/06/2020,11382.307
04/13/2020,14317.357
04/20/2020,15337.156
04/27/2020,14709.103
05/04/2020,16653.836
05/11/2020,17891.683
05/18/2020,19163.806
05/25/2020,17663.143
06/01/2020,16996.477
06/08/2020,17325.26
06/15/2020,20398.183
06/22/2020,21041.983
06/29/2020,23705.318
07/06/2020,23747.275
07/13/2020,21444.47
07/20/2020,21481.766
07/27/2020,23572.784
08/03/2020,24219.246
08/10/2020,22771.364
08/17/2020,23508.847
08/24/2020,23973.716
08/31/2020,22441.028
09/07/2020,21141.883
09/14/2020,20849.732
09/21/2020,22172.408
09/28/2020,23683.562
10/05/2020,25171.183
10/12/2020,24532.046
10/19/2020,23622.068
10/26/2020,21384.529
11/02/2020,24038.983
11/09/2020,21226.244
11/16/2020,22784.905
11/23/2020,23803.442
11/30/2020,24236.341
12/07/2020,24324.698
12/14/2020,26835.296
12/21/2020,28046.528
12/28/2020,25969.273
01/04/2021,27234.007
01/11/2021,26824.417
01/18/2021,27406.723
01/25/2021,25228.682
02/01/2021,29428.032
02/08/2021,33151.86
02/15/2021,32697.207
02/22/2021,29277.517
03/01/2021,25948.405
03/08/2021,26161.97
03/15/2021,25725.074
03/22/2021,24487.646
03/29/2021,26490.085
04/05/2021,28086.044
04/12/2021,27653.143
04/19/2021,25238.449
04/26/2021,27091.705
05/03/2021,25450.904
05/10/2021,24927.205
05/17/2021,28015.448
05/24/2021,28431.698
05/31/2021,27607.411
06/07/2021,28523.828
06/14/2021,33404.496
06/21/2021,33552.572
06/28/2021,33357.435
07/05/2021,34028.76
07/12/2021,32866.369
07/19/2021,37321.688
07/26/2021,34138.428
08/02/2021,34696.315
08/09/2021,34095.584
08/16/2021,33045.525
08/23/2021,34837.507
08/30/2021,35344.334
09/06/2021,33787.004
09/13/2021,33835.621
09/20/2021,32896.782
09/27/2021,30826.856
10/04/2021,31432.248
10/11/2021,32465.658
10/18/2021,32493.855
10/25/2021,33401.39
11/01/2021,34762.915
11/08/2021,37903.326
11/15/2021,38371.303
11/22/2021,35842.723
11/29/2021,32141.983
12/06/2021,33287.06
12/13/2021,30219.462
12/20/2021,32793.109
12/27/2021,31418.041
01/03/2022,26247.439
01/10/2022,25324.585
01/17/2022,20423.047
