Date,Networth
04/22/2019,9093.252
04/29/2019,10800.827
05/06/2019,10588.147
05/13/2019,11188.15
05/20/2019,11284.265
05/27/2019,11245.41
06/03/2019,12478.545
06/10/2019,12480.999
06/17/2019,13370.165
06/24/2019,12278.135
07/01/2019,12833.148
07/08/2019,12681.818
07/15/2019,13499.0
07/22/2019,13766.486
07/29/2019,13588.572
08/05/2019,15132.955
08/12/2019,14674.466
08/19/2019,15656.476
08/26/2019,15764.451
09/02/2019,15561.178
09/09/2019,13838.879
09/16/2019,13041.738
09/23/2019,12504.721
09/30/2019,13384.48
10/07/2019,13468.734
10/14/2019,12858.506
10/21/2019,12985.705
10/28/2019,12957.484
11/04/2019,12175.476
11/11/2019,12778.342
11/18/2019,12865.868
11/25/2019,13775.075
12/02/2019,14914.14
12/09/2019,15771.813
12/16/2019,15955.863
12/23/2019,16689.2
12/30/2019,16537.461
01/06/2020,17555.053
01/13/2020,18606.592
01/20/2020,19040.132
01/27/2020,19047.495
02/03/2020,19580.421
02/10/2020,21728.899
02/17/2020,21296.995
02/24/2020,18951.379
03/02/2020,19309.663
03/09/2020,15989.81
03/16/2020,14155.854
03/23/2020,17246.258
03/30/2020,14629.885
04/06/2020,17087.565
04/13/2020,24148.951
04/20/2020,26308.471
04/27/2020,25099.875
05/04/2020,28998.874
05/11/2020,31372.299
05/18/2020,33751.452
05/25/2020,30996.02
06/01/2020,29767.793
06/08/2020,30373.523
06/15/2020,36034.899
06/22/2020,37221.0
06/29/2020,42127.774
07/06/2020,42205.073
07/13/2020,37962.519
07/20/2020,38031.23
07/27/2020,41883.601
08/03/2020,43074.606
08/10/2020,40407.11
08/17/2020,41765.808
08/24/2020,42622.254
08/31/2020,39798.519
09/07/2020,37405.049
09/14/2020,36866.807
09/21/2020,39303.629
09/28/2020,42087.692
10/05/2020,44828.399
10/12/2020,43650.889
10/19/2020,41974.399
10/26/2020,37852.087
11/02/2020,42742.5
11/09/2020,37560.471
11/16/2020,40432.058
11/23/2020,42308.552
11/30/2020,43106.101
12/07/2020,43268.884
12/14/2020,47894.264
12/21/2020,50125.769
12/28/2020,46298.755
01/04/2021,48628.827
01/11/2021,47874.222
01/18/2021,48947.029
01/25/2021,44934.331
02/01/2021,52670.973
02/08/2021,59531.539
02/15/2021,58693.912
02/22/2021,52393.673
03/01/2021,46260.308
03/08/2021,46653.769
03/15/2021,45848.855
03/22/2021,43569.091
03/29/2021,47258.269
04/05/2021,50198.571
04/12/2021,49401.02
04/19/2021,44952.327
04/26/2021,48366.659
05/03/2021,45343.74
05/10/2021,44378.909
05/17/2021,50068.509
05/24/2021,50835.384
05/31/2021,49316.765
06/07/2021,51005.119
06/14/2021,59996.981
06/21/2021,60269.788
06/28/2021,59910.277
07/05/2021,61147.088
07/12/2021,59005.567
07/19/2021,67213.788
07/26/2021,61349.135
08/02/2021,62376.953
08/09/2021,61270.201
08/16/2021,59335.633
08/23/2021,62637.077
08/30/2021,63570.826
09/06/2021,60701.692
09/13/2021,60791.26
09/20/2021,59061.598
09/27/2021,55248.086
10/04/2021,56363.425
10/11/2021,58267.319
10/18/2021,58319.268
10/25/2021,59991.259
11/01/2021,62499.654
11/08/2021,68285.366
11/15/2021,69147.539
11/22/2021,64489.029
11/29/2021,57671.0
12/06/2021,59780.624
12/13/2021,54129.058
12/20/2021,58870.597
12/27/2021,56337.25
01/03/2022,46811.231
01/10/2022,45111.019
01/17/2022,36080.707
01/24/2022,35676.207
01/31/2022,35830.399
02/07/2022,34930.601
02/14/2022,26868.394
02/21/2022,27689.255
02/28/2022,24576.356
03/07/2022,22266.733
03/14/2022,31904.0
03/21/2022,27794.778
03/28/2022,28345.701
04/04/2022,24672.062
04/11/2022,23703.959
04/18/2022,18814.774
04/25/2022,17458.938
05/02/2022,15441.341
05/09/2022,16463.432
05/16/2022,14883.464
05/23/2022,15095.736
05/30/2022,14466.694
06/06/2022,14252.787
06/13/2022,12962.801
06/20/2022,15757.907
06/27/2022,12848.69
07/04/2022,14550.13
07/11/2022,12791.43
07/18/2022,15278.149
07/25/2022,14247.471
08/01/2022,16693.29
08/08/2022,16672.839
08/15/2022,13989.8
08/22/2022,13261.779
08/29/2022,12316.99
09/05/2022,14239.29
09/12/2022,12979.57
09/19/2022,11764.84
09/26/2022,11020.46
10/03/2022,11130.89
10/10/2022,10660.54
10/17/2022,12169.75
10/24/2022,13985.71
10/31/2022,13151.351
11/07/2022,16132.96
11/14/2022,14967.31
11/21/2022,15049.11
11/28/2022,17613.54
12/05/2022,15699.42
12/12/2022,14762.81
12/19/2022,13789.39
12/26/2022,14198.39
01/02/2023,15073.649
01/09/2023,15908.01
01/16/2023,16558.32
01/23/2023,20484.721
01/30/2023,21650.37
02/06/2023,19756.7
02/13/2023,17838.49
02/20/2023,16668.75
02/27/2023,17752.601
03/06/2023,16959.14
03/13/2023,18276.12
03/20/2023,18398.82
03/27/2023,19609.46
04/03/2023,18550.149
04/10/2023,18975.51
04/17/2023,20018.46
