Date,Networth
04/29/2019,9217.997
05/06/2019,9217.997
05/13/2019,9217.997
05/20/2019,9217.997
05/27/2019,9217.997
06/03/2019,9217.997
06/10/2019,9217.997
06/17/2019,9217.997
06/24/2019,9217.997
07/01/2019,9217.997
07/08/2019,9217.997
07/15/2019,9217.997
07/22/2019,9217.997
07/29/2019,9217.997
08/05/2019,9217.997
08/12/2019,9217.997
08/19/2019,9217.997
08/26/2019,9217.997
09/02/2019,9217.997
09/09/2019,9217.997
09/16/2019,8946.677
09/23/2019,8579.037
09/30/2019,9181.317
10/07/2019,9238.997
10/14/2019,8821.237
10/21/2019,8908.317
10/28/2019,8888.997
11/04/2019,8353.637
11/11/2019,8766.357
11/18/2019,8826.277
11/25/2019,9448.717
12/02/2019,10228.517
12/09/2019,10815.677
12/16/2019,10941.677
12/23/2019,11443.717
12/30/2019,11454.357
01/06/2020,11454.357
01/13/2020,11454.357
01/20/2020,11454.357
01/27/2020,11454.357
02/03/2020,11454.357
02/10/2020,11454.357
02/17/2020,11454.357
02/24/2020,11454.357
03/02/2020,11454.357
03/09/2020,10396.477
03/16/2020,9208.923
03/23/2020,11218.819
03/30/2020,9517.217
04/06/2020,11115.61
04/13/2020,15708.101
04/20/2020,17112.581
04/27/2020,16326.55
05/04/2020,18862.33
05/11/2020,20405.926
05/18/2020,21953.248
05/25/2020,20161.207
06/01/2020,19362.409
06/08/2020,19756.356
06/15/2020,23438.326
06/22/2020,24209.727
06/29/2020,27400.929
07/06/2020,27451.202
07/13/2020,24691.986
07/20/2020,24736.674
07/27/2020,27242.127
08/03/2020,28016.718
08/10/2020,26281.867
08/17/2020,27165.519
08/24/2020,27722.523
08/31/2020,25886.059
09/07/2020,24329.426
09/14/2020,23979.372
09/21/2020,25564.2
09/28/2020,27374.861
10/05/2020,29157.326
10/12/2020,28391.513
10/19/2020,27301.179
10/26/2020,24620.165
11/02/2020,27800.727
11/09/2020,24430.507
11/16/2020,26298.092
11/23/2020,27518.502
11/30/2020,28037.201
12/07/2020,28143.07
12/14/2020,31151.263
12/21/2020,32602.559
12/28/2020,30113.597
01/04/2021,31628.998
01/11/2021,31138.228
01/18/2021,31835.946
01/25/2021,29226.221
02/01/2021,34257.875
02/08/2021,38719.76
02/15/2021,38174.995
02/22/2021,34077.529
03/01/2021,30088.592
03/08/2021,30344.486
03/15/2021,29820.997
03/22/2021,28338.314
03/29/2021,30737.633
04/05/2021,32649.908
04/12/2021,32131.207
04/19/2021,29237.925
04/26/2021,31458.493
05/03/2021,29492.487
05/10/2021,28864.993
05/17/2021,32565.32
05/24/2021,33064.07
05/31/2021,32076.41
06/07/2021,33174.46
06/14/2021,39022.468
06/21/2021,39199.892
06/28/2021,38966.078
07/05/2021,39770.459
07/12/2021,38377.685
07/19/2021,43716.039
07/26/2021,39901.864
08/02/2021,40570.322
08/09/2021,39850.528
08/16/2021,38592.349
08/23/2021,40739.498
08/30/2021,41346.778
09/06/2021,39480.788
09/13/2021,39539.04
09/20/2021,38414.125
09/27/2021,35933.944
10/04/2021,36659.323
10/11/2021,37897.553
10/18/2021,37931.339
10/25/2021,39018.746
11/01/2021,40650.123
11/08/2021,44412.958
11/15/2021,44973.686
11/22/2021,41943.946
11/29/2021,37509.727
12/06/2021,38881.756
12/13/2021,35206.166
12/20/2021,38289.905
12/27/2021,36642.3
01/03/2022,30446.894
01/10/2022,29341.133
01/17/2022,23468.118
01/24/2022,23205.045
01/31/2022,23305.326
02/07/2022,22720.127
02/14/2022,17476.736
02/21/2022,18010.597
02/28/2022,15986.071
03/07/2022,14483.969
03/14/2022,20751.727
03/21/2022,18079.226
03/28/2022,18437.528
04/04/2022,16048.315
04/11/2022,15418.693
04/18/2022,12238.929
04/25/2022,11357.139
05/02/2022,10044.961
05/09/2022,10709.695
05/16/2022,9682.136
05/23/2022,9820.191
05/30/2022,9411.083
06/06/2022,9271.965
06/13/2022,8433.001
06/20/2022,10250.845
06/27/2022,8358.787
07/04/2022,9465.347
07/11/2022,8321.547
07/18/2022,9938.826
07/25/2022,9268.507
08/01/2022,10859.187
08/08/2022,10845.886
08/15/2022,9100.927
08/22/2022,8627.446
08/29/2022,8012.987
09/05/2022,9263.187
09/12/2022,8443.907
09/19/2022,7653.887
09/26/2022,7169.767
10/03/2022,7241.587
10/10/2022,6935.687
10/17/2022,7917.227
10/24/2022,9098.267
10/31/2022,8555.627
11/07/2022,10494.767
11/14/2022,9736.667
11/21/2022,9789.867
11/28/2022,11457.687
12/05/2022,10212.807
